Agent WT3 issued withdrawal of $98.00 at: 09/22/24 at 12:13:35 EDT  Transaction Number: 35
Agent WT4 issued withdrawal of $92.00 at: 09/22/24 at 12:13:35 EDT  Transaction Number: 39
Agent DT3 issued deposit of $450.00 at: 09/22/24 at 12:13:35 EDT  Transaction Number: 42
Agent WT10 issued withdrawal of $91.00 at: 09/22/24 at 12:13:35 EDT  Transaction Number: 43
Agent WT7 issued withdrawal of $92.00 at: 09/22/24 at 12:13:35 EDT  Transaction Number: 50
Agent DT1 issued deposit of $578.00 at: 09/22/24 at 12:13:36 EDT  Transaction Number: 55
Agent WT1 issued withdrawal of $95.00 at: 09/22/24 at 12:13:36 EDT  Transaction Number: 56
Agent WT10 issued withdrawal of $94.00 at: 09/22/24 at 12:13:36 EDT  Transaction Number: 59
Agent WT6 issued withdrawal of $90.00 at: 09/22/24 at 12:13:36 EDT  Transaction Number: 60
Agent WT3 issued withdrawal of $96.00 at: 09/22/24 at 12:13:36 EDT  Transaction Number: 65
Agent WT3 issued withdrawal of $94.00 at: 09/22/24 at 12:13:36 EDT  Transaction Number: 73
Agent WT10 issued withdrawal of $98.00 at: 09/22/24 at 12:13:36 EDT  Transaction Number: 91
Agent WT2 issued withdrawal of $93.00 at: 09/22/24 at 12:13:36 EDT  Transaction Number: 92
Agent DT5 issued deposit of $587.00 at: 09/22/24 at 12:13:36 EDT  Transaction Number: 93
Agent WT4 issued withdrawal of $95.00 at: 09/22/24 at 12:13:36 EDT  Transaction Number: 94
Agent WT10 issued withdrawal of $91.00 at: 09/22/24 at 12:13:36 EDT  Transaction Number: 100
Agent DT2 issued deposit of $515.00 at: 09/22/24 at 12:13:36 EDT  Transaction Number: 104
Agent WT1 issued withdrawal of $96.00 at: 09/22/24 at 12:13:37 EDT  Transaction Number: 107
Agent DT1 issued deposit of $515.00 at: 09/22/24 at 12:13:37 EDT  Transaction Number: 112
Agent WT6 issued withdrawal of $99.00 at: 09/22/24 at 12:13:37 EDT  Transaction Number: 116
Agent WT10 issued withdrawal of $94.00 at: 09/22/24 at 12:13:37 EDT  Transaction Number: 119
Agent DT2 issued deposit of $512.00 at: 09/22/24 at 12:13:37 EDT  Transaction Number: 130
Agent DT1 issued deposit of $551.00 at: 09/22/24 at 12:13:37 EDT  Transaction Number: 141
Agent WT1 issued withdrawal of $92.00 at: 09/22/24 at 12:13:37 EDT  Transaction Number: 143
Agent WT2 issued withdrawal of $92.00 at: 09/22/24 at 12:13:37 EDT  Transaction Number: 145
Agent DT4 issued deposit of $482.00 at: 09/22/24 at 12:13:37 EDT  Transaction Number: 155
Agent WT2 issued withdrawal of $94.00 at: 09/22/24 at 12:13:37 EDT  Transaction Number: 158
Agent WT4 issued withdrawal of $90.00 at: 09/22/24 at 12:13:37 EDT  Transaction Number: 165
Agent DT1 issued deposit of $563.00 at: 09/22/24 at 12:13:37 EDT  Transaction Number: 178
Agent WT7 issued withdrawal of $97.00 at: 09/22/24 at 12:13:37 EDT  Transaction Number: 180
Agent WT8 issued withdrawal of $92.00 at: 09/22/24 at 12:13:38 EDT  Transaction Number: 200
Agent WT10 issued withdrawal of $94.00 at: 09/22/24 at 12:13:38 EDT  Transaction Number: 210
Agent DT5 issued deposit of $479.00 at: 09/22/24 at 12:13:39 EDT  Transaction Number: 220
Agent DT1 issued deposit of $592.00 at: 09/22/24 at 12:13:39 EDT  Transaction Number: 242
Agent WT9 issued withdrawal of $99.00 at: 09/22/24 at 12:13:39 EDT  Transaction Number: 245
Agent DT1 issued deposit of $588.00 at: 09/22/24 at 12:13:40 EDT  Transaction Number: 275
Agent WT9 issued withdrawal of $92.00 at: 09/22/24 at 12:13:40 EDT  Transaction Number: 280
Agent DT2 issued deposit of $600.00 at: 09/22/24 at 12:13:40 EDT  Transaction Number: 292
Agent WT8 issued withdrawal of $97.00 at: 09/22/24 at 12:13:41 EDT  Transaction Number: 303
Agent WT6 issued withdrawal of $90.00 at: 09/22/24 at 12:13:41 EDT  Transaction Number: 305
Agent WT1 issued withdrawal of $90.00 at: 09/22/24 at 12:13:41 EDT  Transaction Number: 308
Agent WT7 issued withdrawal of $95.00 at: 09/22/24 at 12:13:41 EDT  Transaction Number: 317
Agent WT8 issued withdrawal of $90.00 at: 09/22/24 at 12:13:41 EDT  Transaction Number: 328
Agent WT7 issued withdrawal of $98.00 at: 09/22/24 at 12:13:42 EDT  Transaction Number: 349
Agent DT3 issued deposit of $469.00 at: 09/22/24 at 12:13:42 EDT  Transaction Number: 351
Agent WT7 issued withdrawal of $98.00 at: 09/22/24 at 12:13:42 EDT  Transaction Number: 371
Agent WT3 issued withdrawal of $99.00 at: 09/22/24 at 12:13:42 EDT  Transaction Number: 379
Agent WT8 issued withdrawal of $94.00 at: 09/22/24 at 12:13:42 EDT  Transaction Number: 383
Agent DT2 issued deposit of $498.00 at: 09/22/24 at 12:13:42 EDT  Transaction Number: 384
Agent WT7 issued withdrawal of $97.00 at: 09/22/24 at 12:13:42 EDT  Transaction Number: 398
Agent WT10 issued withdrawal of $92.00 at: 09/22/24 at 12:13:42 EDT  Transaction Number: 400
Agent WT3 issued withdrawal of $99.00 at: 09/22/24 at 12:13:43 EDT  Transaction Number: 410
Agent DT5 issued deposit of $477.00 at: 09/22/24 at 12:13:43 EDT  Transaction Number: 413
Agent WT4 issued withdrawal of $99.00 at: 09/22/24 at 12:13:43 EDT  Transaction Number: 414
Agent WT5 issued withdrawal of $90.00 at: 09/22/24 at 12:13:43 EDT  Transaction Number: 418
Agent WT6 issued withdrawal of $91.00 at: 09/22/24 at 12:13:44 EDT  Transaction Number: 423
Agent WT6 issued withdrawal of $93.00 at: 09/22/24 at 12:13:44 EDT  Transaction Number: 441
Agent WT5 issued withdrawal of $91.00 at: 09/22/24 at 12:13:44 EDT  Transaction Number: 446
Agent WT1 issued withdrawal of $96.00 at: 09/22/24 at 12:13:44 EDT  Transaction Number: 449
Agent DT2 issued deposit of $570.00 at: 09/22/24 at 12:13:45 EDT  Transaction Number: 457
Agent WT3 issued withdrawal of $98.00 at: 09/22/24 at 12:13:45 EDT  Transaction Number: 459
Agent WT9 issued withdrawal of $95.00 at: 09/22/24 at 12:13:45 EDT  Transaction Number: 461
Agent WT2 issued withdrawal of $94.00 at: 09/22/24 at 12:13:45 EDT  Transaction Number: 464
Agent DT4 issued deposit of $501.00 at: 09/22/24 at 12:13:45 EDT  Transaction Number: 468
Agent WT8 issued withdrawal of $98.00 at: 09/22/24 at 12:13:45 EDT  Transaction Number: 471
Agent WT2 issued withdrawal of $90.00 at: 09/22/24 at 12:13:45 EDT  Transaction Number: 489
